detailsheading_h1,price,city,description,agentname,street,postcode,bedroom_number,price_raw
2 bedroom apartment for sale,174950,Icon 25 Northern Quarter Manchester M4,Located in the heart of the vibrant Northern Quarter this outstanding two double bedroom apartment is located in the ever popular and well maintained Icon 25 development. Just a stones throw to an abundance of bars shops and restaurants the high specification apartment also provides easy access...,Thornley Groves,Icon 25,M4 1FS,2,
2 bedroom flat to rent,1350 pcm (312 pw),Great Northern Tower Watson Street Manchester Greater Manchester,The Great Northern Tower is a landmark residential development located just off Deansgate. A prominent site which is only a short walk from Spinningfields and the rest of the City Centre's bars shops and restaurants. This two bedroom apartment is located on the first floor of (contd...),JLL,Great Northern Tower,M3 4EP,2,Fees apply
2 bedroom apartment to rent,1400 pcm (323 pw),Great Northern Tower Manchester Manchester M3,Stunning top floor apartment with fantastic views in the Great Northern Tower right in the heart of the city centre. The apartment comprises:- large open plan living dining room leading to a balcony fully integrated kitchen two spacious double bedrooms mater with a balcony and en-suite and a...,Thornley Groves,Great Northern Tower,M3 4EH,2,Fees apply
2 bedroom apartment to rent,1600 pcm (369 pw),W3 51 Whitworth Street West  Manchester M1,Available soon. Undergoing major refurbishment a superb and substantial 8th floor duplex penthouse apartment of approximately 1095 sq. ft. in landmark development W3. Impressive Lounge/Dining Room/Kitchen. Personal balcony. Two Double Bedrooms. En-suite Shower Room & En-suite Bathroom....,Lawrence Copeland,W3 51 Whitworth Street West,M1 5BD,2,Fees apply
3 bedroom apartment to rent,2250 pcm (519 pw),Whitworth House City Centre Manchester M1,Prepare to be overwhelmed by this magnificent three bedroom duplex apartment within the quaint conversion of Whitworth House. The vast apartment has been recently refurbished to an extremely high standard and benefits from a plethora of original features as well as an extensive roof terrace....,Thornley Groves,Whitworth House,M1 5WQ,3,Fees apply
1 bedroom apartment for sale,125000,Booth Street  Manchester City Manchester,RE/MAX Signature are proud to present some very private and unique investment opportunities in this area for our clients We have many other developments in and around Manchester's Main City's and surrounding area's like Media City. The new home of the BBC and ITV. We have exclusive...,RE/MAX - London,Booth Street Manchester City,M2 4AD,1,from
2 bedroom apartment to rent,1650 pcm (381 pw),Beetham Tower Manchester M3,Without a doubt this is one of the most prominent buildings the City Centre has seen and this particular apartment is situated on the 38th floor with stunning views. The specification within this apartment is high spec and will certainly appeal. There are additional benefits such a 24 hour...,Thornley Groves,Beetham Tower,M3 2BW,2,Fees apply
2 bedroom apartment to rent,1395 pcm (322 pw),Beetham Tower Deansgate Manchester M3,Without a doubt this is one of the most prominent buildings the City Centre has seen and this particular apartment is situated on the 34th floor with stunning views. The specification within this apartment is high spec and will certainly appeal. Two double bedrooms one bathroom and a large open...,Thornley Groves,Beetham Tower,M3 4LY,2,Fees apply
2 bedroom apartment to rent,1495 pcm (345 pw),The Edge Manchester Greater Manchester M3,Styled by Ben de Lisi The Edge offers contemporary living in a quiet location in the heart of Manchester's City Centre Fitted with an Italian Mesons Cucine Spa luxury kitchen shower room fitted with Villeroy & Boch suite and shower by Hansgrohe. Safety and security provided by 24 hour...,Thornley Groves,The Edge,M3 5NA,2,Fees apply
2 bedroom flat to rent,1395 pcm (322 pw),The Hub Manchester Greater Manchester,The Hub apartments are designed to a high specification and the development is perfectly located on the corner of Aytoun Street and Whitworth Street offering residents easy access to Piccadilly Train Station the Arndale Centre and Oxford Road.This immaculate two bedroom (contd...),JLL,The Hub,M1 3DB,2,Fees apply
Garages for sale,20000,Parking Spaces 24 Bridgewater Street Off Deansgate Manchester M3 4Na Manchester,C&R City are pleased to offer the unique chance of acquiring secure underground parking spaces just off the Hilton end of Deansgate. Whether you're a local resident business or simply require a safe and secure parking space in the City then this could be an ideal opportunity. There are...,C&R Properties,Parking Spaces,M3 4NA,,
2 bedroom apartment to rent,2850 pcm (658 pw),8 King Street Deansgate Manchester M2,One of the finest and exclusive apartments in Manchester is set within a delightful restored period building situated on the corner of King Street & Deansgate forming part of Manchester's most desirable location. A generous and impressive apartment enjoys stunning views and is going to...,Thornley Groves,8 King Street,M2 4WU,2,Fees apply
2 bedroom apartment to rent,2200 pcm (508 pw),8 King Street Deansgate Manchester M2,Wonderfully and painstakingly renovated this architectural treasure has been lovingly converted from offices to offer almost unheard of spacious apartments in the city centre and are now ready to view. Set on the corner of King St and Deansgate a most sought after position. A contemporary...,Thornley Groves,8 King Street,M2 4LQ,2,Fees apply
2 bedroom flat to rent,1795 pcm (414 pw),Leftbank Spinningfields Manchester,An beautiful two bedroom two bathroom duplex apartment located in the Leftbank development in the Spinningfields area of the City Centre. The property briefly comprises reception hallwayWC with storage cupboard housing washing machine lounge and open plan fully fitted (contd...),JLL,Leftbank,M3 3BZ,2,Fees apply
1 bedroom penthouse to rent,1225 pcm (283 pw),Jewel House Northern Quarter Greater Manchester M4,Fully Furnished PENTHOUSE apartment in the heart of the trendy Northern Quarter. Located on Thomas Street Jewel House is in a fantastic location surrounded by a plethora of shops restaurants and bars on it's door step it's just a hop skip and a jump to your nearest watering hole. This...,Thornley Groves,Jewel House,M8 0LA,1,Fees apply
3 bedroom apartment for sale,240000,Quantum 6 Chapeltown Street Manchester,Jordan Fishwick are delighted to bring to the market this second floor dual aspect three double bedroom apartment with balcony and a secure parking space. This generous size apartment benefits from views of the Ashton Canal and each bedroom is a good size double. Quantum Development in...,Jordan Fishwick,Quantum,M1 2WH,3,
1 bedroom apartment for sale,134950,Tempus Tower Mirabel Street Manchester,Tempus Tower is a 20 storey purpose built tower comprising 146 apartments and offers panoramic views of Manchester. The Tower is a newly designed part of the Tempus development by Country and Metropolitan Homes and is an addition to the recently restored grade II listed buildings that make up...,Pad Residential,Tempus Tower,M3 1PJ,1,guide price
2 bedroom flat to rent,1595 pcm (368 pw),Great Northern Tower 1 Watson St Manchester,A stunning two bedroom two bathroom apartment located on the 12th floor of the sought after Great Northern Tower development next to Deansgate. The property is furnished to a very high standard and the apartment has an enviable corner aspect with fantastic City views from both (contd...),JLL,Great Northern Tower,M3 4LP,2,Fees apply
2 bedroom apartment to rent,1400 pcm (323 pw),Great Northern Tower Manchester M3,Spacious two double bedroom apartment in the sought after Great Northern Tower situated in the heart of the City Centre. Located on the 10th floor the property benefits from uninterrupted views over Manchester. The apartment comprises entrance hall leading to spacious open plan lounge and kitchen...,Thornley Groves,Great Northern Tower,M3 4EF,2,Fees apply
3 bedroom apartment to rent,1300 pcm (300 pw),Tempus Tower City Centre Greater Manchester M3,An impressive & substantial three bedroom apartment situated on the third floor of one of the most striking and ambitious residential development projects in Manchester. Located just a short walk from the shops bars & restaurants on Deansgate the accommodation comprises spacious lounge/...,Thornley Groves,Tempus Tower,M3 1NG,3,Fees apply
